municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-01 12:10:00.0;0,20;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-01 12:20:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 12:50:00.0;0,60;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 13:00:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 13:10:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 13:20:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 13:30:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 13:40:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 13:50:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 14:00:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 14:10:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 14:20:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 14:30:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 14:40:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 14:50:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 15:00:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 15:10:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 15:20:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 15:30:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 15:40:00.0;0,20;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 15:50:00.0;3,40;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 16:00:00.0;0,60;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 16:10:00.0;0,20;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 16:20:00.0;0,40;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 16:30:00.0;0,20;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 16:40:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 16:50:00.0;0,80;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 17:00:00.0;1,40;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-01-07 17:10:00.0;0,00;
